127.0.0.1 - - [28/Oct/2018:16:14:11 +0800] "GET /zkdwManager/images/search.png HTTP/1.1" 200 1145
127.0.0.1 - - [28/Oct/2018:16:14:11 +0800] "GET /zkdwManager/images/add.png HTTP/1.1" 200 969
127.0.0.1 - - [28/Oct/2018:16:14:11 +0800] "GET /zkdwManager/images/edit.png HTTP/1.1" 200 1115
127.0.0.1 - - [28/Oct/2018:16:14:11 +0800] "GET /zkdwManager/images/del.png HTTP/1.1" 200 1076
127.0.0.1 - - [28/Oct/2018:16:14:11 +0800] "GET /zkdwManager/images/mb.png HTTP/1.1" 200 1591
127.0.0.1 - - [28/Oct/2018:16:14:14 +0800] "GET /zkdwManager/images/arrow-r2.png HTTP/1.1" 200 1022
127.0.0.1 - - [28/Oct/2018:16:14:15 +0800] "GET /zkdwManager/areaMeterAct/areaList.html HTTP/1.1" 200 14996
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/areaMeterAct/areaMeterList.html HTTP/1.1" 200 11369
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/css/css.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/css/blue.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/js/jquery.form.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/js/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:21 +0800] "GET /zkdwManager/js/jquery-validation/1.11.0/jquery.validate.min.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:22 +0800] "GET /zkdwManager/js/jquery-validation/1.11.0/jquery.validate.min.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:22 +0800] "GET /zkdwManager/images/search.png HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:22 +0800] "GET /zkdwManager/js/jquery-validation/1.11.0/jquery.validate.method.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:22 +0800] "GET /zkdwManager/js/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Oct/2018:16:14:26 +0800] "GET /zkdwManager/electricityInfoAct/getValidDate.html HTTP/1.1" 200 96
