127.0.0.1 - - [22/Feb/2019:14:02:06 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/login.jsp HTTP/1.1" 200 2747
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/bootstrapvalidator/js/language/zh_CN.js HTTP/1.1" 200 10982
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/bootstrapvalidator/js/bootstrapValidator.min.js HTTP/1.1" 200 89085
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/layer/layer.js HTTP/1.1" 200 22116
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/softeem/%E5%A4%A7%E8%83%8C%E6%99%AF.png HTTP/1.1" 200 251846
0:0:0:0:0:0:0:1 - - [22/Feb/2019:14:02:08 +0800] "GET /dailysystem1/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
